Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,31.50,31.870001,30.104,31.16,171000,31.16
2016-04-18,31.74,31.98,31.00,31.07,11400,31.07
2016-04-15,31.110001,31.92,30.629999,31.92,88000,31.92
2016-04-14,31.700001,32.43,31.059999,31.290001,63800,31.290001
2016-04-13,31.58,32.75,31.08,31.540001,56200,31.540001
2016-04-12,31.82,32.98,30.868,31.530001,130600,31.530001
2016-04-11,33.169998,33.169998,30.41,32.459999,120100,32.459999
2016-04-08,31.790001,31.790001,29.58,31.25,28400,31.25
2016-04-07,31.254999,33.240002,29.889999,31.299999,119500,31.299999
2016-04-06,29.99,32.00,29.549999,31.58,147700,31.58
2016-04-05,29.290001,30.00,28.51,29.51,74700,29.51
2016-04-04,28.700001,30.50,28.700001,29.969999,48700,29.969999
2016-04-01,29.129999,29.780001,28.50,29.209999,48200,29.209999
2016-03-31,28.27,29.879999,28.27,29.309999,50700,29.309999
2016-03-30,28.00,29.01,28.00,28.60,35400,28.60
2016-03-29,27.00,28.24,27.00,27.67,27100,27.67
2016-03-28,27.90,27.90,26.790001,27.030001,36000,27.030001
2016-03-24,26.974001,29.445,26.959999,28.030001,54900,28.030001
2016-03-23,30.99,31.66,27.049999,28.25,172600,28.25
2016-03-22,29.42,30.790001,28.743,30.52,132100,30.52
2016-03-21,27.00,30.674999,27.00,29.299999,138200,29.299999
2016-03-18,26.85,27.809999,25.285,27.690001,111600,27.690001
2016-03-17,25.82,26.799999,25.280001,26.030001,50000,26.030001
2016-03-16,26.530001,26.889999,25.50,25.98,102400,25.98
2016-03-15,27.00,27.853001,26.52,26.780001,78300,26.780001
2016-03-14,28.870001,28.870001,27.00,27.00,168200,27.00
2016-03-11,27.98,28.10,26.700001,27.879999,95600,27.879999
2016-03-10,29.00,29.709999,27.174999,28.00,163900,28.00
2016-03-09,28.43,29.48,27.76,28.77,96600,28.77
2016-03-08,29.790001,29.85,28.02,28.700001,212600,28.700001
2016-03-07,31.354,32.50,29.309999,29.790001,198500,29.790001
2016-03-04,32.970001,33.50,31.42,32.369999,164900,32.369999
2016-03-03,31.00,32.240002,30.950001,32.150002,398500,32.150002
2016-03-02,29.799999,31.25,29.75,31.18,218000,31.18
2016-03-01,29.940001,30.499001,29.41,29.889999,176200,29.889999
2016-02-29,29.50,30.514,28.68,29.27,247000,29.27
2016-02-26,30.27,30.27,28.379999,29.75,131400,29.75
2016-02-25,28.440001,29.68,27.799999,28.950001,206100,28.950001
2016-02-24,26.50,28.034,26.50,27.84,76400,27.84
2016-02-23,26.700001,28.396,26.639999,27.15,269400,27.15
2016-02-22,27.00,29.00,27.00,27.469999,106300,27.469999
2016-02-19,26.00,27.530001,25.60,27.030001,159500,27.030001
2016-02-18,26.940001,27.77,25.41,26.65,283300,26.65
2016-02-17,25.440001,26.74,24.60,26.059999,244800,26.059999
2016-02-16,24.52,26.40,23.60,25.129999,228000,25.129999
2016-02-12,24.09,24.610001,23.200001,23.98,128000,23.98
2016-02-11,26.48,26.74,22.51,24.10,497000,24.10
2016-02-10,27.98,27.98,25.299999,26.879999,469800,26.879999
2016-02-09,30.860001,30.860001,27.00,27.66,360900,27.66
2016-02-08,34.00,34.244999,31.370001,31.52,102700,31.52
2016-02-05,31.299999,35.599998,30.629999,33.91,376500,33.91
2016-02-04,28.15,31.40,27.610001,30.50,361600,30.50
